نام موسسه,عنوان دوره,مبلغ دوره,بازه سنی,مقطع تحصیلی
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",فتوشاپ مقدماتی و پیشرفته,2900000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",صداسازی قرآنی و زیباخوانی قرآن و اذان,9000000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",مهارت های ارتباطی,1200000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",سواد رسانه ای,2400000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",خبرنگاری و نشریه,1200000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",خوشنویسی و تحریر,1700000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",تولید محتوای فرهنگی,1500000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",نقاشی,1000000 تومان,6-7-8-9,دبستان1(6 تا 9 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",چرتکه,2900000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",بازی سازی با اسکرچ,2750000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",هوش مالی کودکان,2400000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",رباتیک,3000000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",فتوشاپ مقدماتی و پیشرفته,3500000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",صداسازی قرآنی و زیباخوانی قرآن و اذان,9000000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",مهارت های ارتباطی,1200000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
"جهاد دانشگاهی اصفهان 20 درصد
(شماره تماس : 03137932073)
آدرس شعب در فایل پیوست",سواد رسانه ای,2400000 تومان,9-10-11-12,دبستان 2(9 تا 12 سال)
