institute,address,phone,title,price,min_age,max_age,grade
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,چرتکه,2.750.000 تومان,9,12,دبستان2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,هوش مصنوعی,2.400.000 تومان,12,15,متوسطه1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,هوش مصنوعی,2.400.000 تومان,15,18,متوسطه2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,راه اندازی مشاغل خانگی,250.000 تومان,19,99,بزرگسالان
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,ICDL,9.500.000 تومان,12,15,متوسطه1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,ICDL,9.500.000 تومان,15,18,متوسطه2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,ICDL,9.500.000 تومان,19,99,بزرگسالان
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,بازی سازی با اسکرچ,2.400.000 تومان,9,12,دبستان2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,پایتون نوجوانان,4.500.000 تومان,12,15,متوسطه1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,پایتون نوجوانان,4.500.000 تومان,15,18,متوسطه2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,امداد و نجات,2.500.000 تومان,19,99,بزرگسالان
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,هوش مالی کودکان,3.000.000 تومان,9,12,دبستان2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,طراحی سایت,4.500.000 تومان,12,15,متوسطه1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,طراحی سایت,4.500.000 تومان,15,18,متوسطه2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,رباتیک,3.500.000 تومان,9,12,دبستان2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,فن بیان,2.400.000 تومان,12,15,متوسطه1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,فن بیان,2.400.000 تومان,15,18,متوسطه2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,فتوشاپ مقدماتی و پیشرفته,9.000.000 تومان,6,9,دبستان1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,فتوشاپ مقدماتی و پیشرفته,9.000.000 تومان,9,12,دبستان2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,فتوشاپ مقدماتی و پیشرفته,9.000.000 تومان,12,15,متوسطه1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,فتوشاپ مقدماتی و پیشرفته,9.000.000 تومان,15,18,متوسطه2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,صداسازی قرآنی و زیباخوانی قرآن و اذان,1.200.000 تومان,6,9,دبستان1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,صداسازی قرآنی و زیباخوانی قرآن و اذان,1.200.000 تومان,9,12,دبستان2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,صداسازی قرآنی و زیباخوانی قرآن و اذان,1.200.000 تومان,12,15,متوسطه1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,صداسازی قرآنی و زیباخوانی قرآن و اذان,1.200.000 تومان,15,18,متوسطه2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,مهارت های ارتباطی,2.400.000 تومان,6,9,دبستان1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,مهارت های ارتباطی,2.400.000 تومان,9,12,دبستان2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,مهارت های ارتباطی,2.400.000 تومان,12,15,متوسطه1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,مهارت های ارتباطی,2.400.000 تومان,15,18,متوسطه2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,سواد رسانه ای,1.200.000 تومان,6,9,دبستان1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,سواد رسانه ای,1.200.000 تومان,9,12,دبستان2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,سواد رسانه ای,1.200.000 تومان,12,15,متوسطه1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,سواد رسانه ای,1.200.000 تومان,15,18,متوسطه2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,خبرنگاری و نشریه,1.700.000 تومان,6,9,دبستان1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,خبرنگاری و نشریه,1.700.000 تومان,9,12,دبستان2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,خبرنگاری و نشریه,1.700.000 تومان,12,15,متوسطه1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,خبرنگاری و نشریه,1.700.000 تومان,15,18,متوسطه2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,خوشنویسی و تحریر,1.500.000 تومان,6,9,دبستان1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,خوشنویسی و تحریر,1.500.000 تومان,9,12,دبستان2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,خوشنویسی و تحریر,1.500.000 تومان,12,15,متوسطه1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,خوشنویسی و تحریر,1.500.000 تومان,15,18,متوسطه2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,تولید محتوای فرهنگی,1.000.000 تومان,6,9,دبستان1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,تولید محتوای فرهنگی,1.000.000 تومان,9,12,دبستان2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,تولید محتوای فرهنگی,1.000.000 تومان,12,15,متوسطه1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,تولید محتوای فرهنگی,1.000.000 تومان,15,18,متوسطه2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,تئاتر و بازیگری نوجوان,1.700.000 تومان,12,15,متوسطه1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,تئاتر و بازیگری نوجوان,1.700.000 تومان,15,18,متوسطه2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,عکاسی با موبایل,2.800.000 تومان,12,15,متوسطه1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,عکاسی با موبایل,2.800.000 تومان,15,18,متوسطه2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,نقاشی,2.600.000 تومان,6,9,دبستان1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,نقاشی,2.600.000 تومان,9,12,دبستان2
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,نقاشی,2.600.000 تومان,12,15,متوسطه1
جهاد دانشگاهی اصفهان 20 درصد,آدرس شعب در فایل پیوست,03137932073,نقاشی,2.600.000 تومان,15,18,متوسطه2
جهاد دانشگاهی صنعتی اصفهان 20 درصد,آدرس شعب در فایل پیوست,0313849,فوتوشاپ,3.900.000 تومان,12,15,متوسطه1
جهاد دانشگاهی صنعتی اصفهان 20 درصد,آدرس شعب در فایل پیوست,0313849,طراحی سایت,6.400.000 تومان,15,18,متوسطه2
جهاد دانشگاهی صنعتی اصفهان 20 درصد,آدرس شعب در فایل پیوست,0313849,طراحی سایت,6.400.000 تومان,19,99,بزرگسالان
جهاد دانشگاهی صنعتی اصفهان 20 درصد,آدرس شعب در فایل پیوست,0313849,افترافکت,5.400.000 تومان,15,18,متوسطه2
جهاد دانشگاهی صنعتی اصفهان 20 درصد,آدرس شعب در فایل پیوست,0313849,افترافکت,5.400.000 تومان,19,99,بزرگسالان
جهاد دانشگاهی صنعتی اصفهان 20 درصد,آدرس شعب در فایل پیوست,0313849,زبان انگلیسی,2.600.000 تومان,6,9,دبستان1
جهاد دانشگاهی صنعتی اصفهان 20 درصد,آدرس شعب در فایل پیوست,0313849,زبان انگلیسی,2.600.000 تومان,9,12,دبستان2
جهاد دانشگاهی صنعتی اصفهان 20 درصد,آدرس شعب در فایل پیوست,0313849,زبان انگلیسی,2.600.000 تومان,12,15,متوسطه1
جهاد دانشگاهی صنعتی اصفهان 20 درصد,آدرس شعب در فایل پیوست,0313849,زبان انگلیسی,2.600.000 تومان,15,18,متوسطه2
جهاد دانشگاهی صنعتی اصفهان 20 درصد,آدرس شعب در فایل پیوست,0313849,زبان انگلیسی,3.000.000 تومان,19,99,بزرگسالان
جهاد دانشگاهی صنعتی اصفهان 20 درصد,آدرس شعب در فایل پیوست,0313849,تولید محتوا با هوش مصنوعی,3.600.000 تومان,15,18,متوسطه2
جهاد دانشگاهی صنعتی اصفهان 20 درصد,آدرس شعب در فایل پیوست,0313849,تولید محتوا با هوش مصنوعی,3.600.000 تومان,19,99,بزرگسالان
جهاد دانشگاهی صنعتی اصفهان 20 درصد,آدرس شعب در فایل پیوست,0313849,باشگاه کارآفرین نوجوان,3.000.000 تومان,12,15,متوسطه1
جهاد دانشگاهی صنعتی اصفهان 20 درصد,آدرس شعب در فایل پیوست,0313849,باشگاه کارآفرین نوجوان,3.000.000 تومان,15,18,متوسطه2
جهاد دانشگاهی صنعتی اصفهان 20 درصد,آدرس شعب در فایل پیوست,0313849,یادگیری ماشین,7.800.000 تومان,19,99,بزرگسالان
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,پایتون مقدماتی و پیشرفته,5.700.000 تومان,12,15,متوسطه1
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,پایتون مقدماتی و پیشرفته,5.700.000 تومان,15,18,متوسطه2
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,حسابداری ویژه بازار کار,12.700.000 تومان,19,99,بزرگسالان
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,ساخت اپلیکیشن  با پایتون,6.000.000 تومان,12,15,متوسطه1
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,ساخت اپلیکیشن  با پایتون,6.000.000 تومان,15,18,متوسطه2
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,پایتون,8.100.000 تومان,19,99,بزرگسالان
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,پرامپت نویسی و راستی آزمایی Al,6.800.000 تومان,9,12,دبستان2
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,پرامپت نویسی و راستی آزمایی Al,6.800.000 تومان,12,15,متوسطه1
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,پرامپت نویسی و راستی آزمایی Al,6.800.000 تومان,15,18,متوسطه2
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,افترافکت,6.800.000 تومان,19,99,بزرگسالان
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,iCDL1(windows-Word-Power point-internet),5.100.000 تومان,12,15,متوسطه1
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,iCDL1(windows-Word-Power point-internet),5.100.000 تومان,15,18,متوسطه2
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,ICDL 1,6.800.000 تومان,19,99,بزرگسالان
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,اکسل,5.500.000 تومان,12,15,متوسطه1
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,اکسل,5.500.000 تومان,15,18,متوسطه2
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,فوتوشاپ,6.800.000 تومان,19,99,بزرگسالان
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,اسکرچ,5.500.000 تومان,9,12,دبستان2
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,تولید محتوا با موبایل,7.200.000 تومان,12,15,متوسطه1
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,تولید محتوا با موبایل,7.200.000 تومان,15,18,متوسطه2
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,دوره کاربردی مدیر شبکه,15.300.000 تومان,19,99,بزرگسالان
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,هوش مصنوعی,6.000.000 تومان,9,12,دبستان2
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,هوش مصنوعی,6.000.000 تومان,12,15,متوسطه1
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,هوش مصنوعی,6.000.000 تومان,15,18,متوسطه2
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,هوش مصنوعی,6.000.000 تومان,19,99,بزرگسالان
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,آموزش بازی سازی,6.000.000 تومان,9,12,دبستان2
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,لیگ های حرفه ای بازی سازی,6.000.000 تومان,12,15,متوسطه1
مجتمع آموزشی متاکو 15 درصد,آدرس : خیابان هزار جریب خیابان کارگر جنب فنی حرفه ای,03136683290,لیگ های حرفه ای بازی سازی,6.000.000 تومان,15,18,متوسطه2
اداره کل آموزش فنی و حرفه ای اصفهان,آدرس : خیابان هزار جریب خیابان کارگر,,برق خودرو,"1,000,000 تا 1,500,000 تومان",15,18,متوسطه2
اداره کل آموزش فنی و حرفه ای اصفهان,آدرس : خیابان هزار جریب خیابان کارگر,,برق خودرو,"1,000,000 تا 1,500,000 تومان",19,99,بزرگسالان
اداره کل آموزش فنی و حرفه ای اصفهان,آدرس : خیابان هزار جریب خیابان کارگر,,ECU,"1,000,000 تا 1,500,000 تومان",15,18,متوسطه2
اداره کل آموزش فنی و حرفه ای اصفهان,آدرس : خیابان هزار جریب خیابان کارگر,,ECU,"1,000,000 تا 1,500,000 تومان",19,99,بزرگسالان
اداره کل آموزش فنی و حرفه ای اصفهان,آدرس : خیابان هزار جریب خیابان کارگر,,PLC,"1,000,000 تا 1,500,000 تومان",15,18,متوسطه2
اداره کل آموزش فنی و حرفه ای اصفهان,آدرس : خیابان هزار جریب خیابان کارگر,,PLC,"1,000,000 تا 1,500,000 تومان",19,99,بزرگسالان
اداره کل آموزش فنی و حرفه ای اصفهان,آدرس : خیابان هزار جریب خیابان کارگر,,مکانیک خودرو,"1,000,000 تا 1,500,000 تومان",15,18,متوسطه2
اداره کل آموزش فنی و حرفه ای اصفهان,آدرس : خیابان هزار جریب خیابان کارگر,,مکانیک خودرو,"1,000,000 تا 1,500,000 تومان",19,99,بزرگسالان
اداره کل آموزش فنی و حرفه ای اصفهان,آدرس : خیابان هزار جریب خیابان کارگر,,تعمیرات موبایل,"1,000,000 تا 1,500,000 تومان",15,18,متوسطه2
اداره کل آموزش فنی و حرفه ای اصفهان,آدرس : خیابان هزار جریب خیابان کارگر,,تعمیرات موبایل,"1,000,000 تا 1,500,000 تومان",19,99,بزرگسالان
تاسیسات گستران  15 درصد,,09135551215,تعمیرات لوازم خانگی(یخچال،لباسشویی،ظرفشویی),"10,540,000 تومان",15,18,متوسطه2
تاسیسات گستران  15 درصد,,09135551215,تعمیرات لوازم خانگی(یخچال،لباسشویی،ظرفشویی),"10,540,000 تومان",19,99,بزرگسالان
تاسیسات گستران  15 درصد,,09135551215,پنل خورشیدی,"10,540,000 تومان",15,18,متوسطه2
تاسیسات گستران  15 درصد,,09135551215,پنل خورشیدی,"10,540,000 تومان",19,99,بزرگسالان
تاسیسات گستران  15 درصد,,09135551215,پمپ و منبع آب,"8,840,000 تومان",15,18,متوسطه2
تاسیسات گستران  15 درصد,,09135551215,پمپ و منبع آب,"8,840,000 تومان",19,99,بزرگسالان
تاسیسات گستران  15 درصد,,09135551215,تصفیه آب خانگی و نیمه صنعتی,"8,840,000 تومان",15,18,متوسطه2
تاسیسات گستران  15 درصد,,09135551215,تصفیه آب خانگی و نیمه صنعتی,"8,840,000 تومان",19,99,بزرگسالان
تاسیسات گستران  15 درصد,,09135551215,تعمیرات بردهای الکترونیکی,"10,540,000 تومان",15,18,متوسطه2
تاسیسات گستران  15 درصد,,09135551215,تعمیرات بردهای الکترونیکی,"10,540,000 تومان",19,99,بزرگسالان
تاسیسات گستران  15 درصد,,09135551215,نعمیر کولر گازی و اسپلیت,"8,840,000 تومان",15,18,متوسطه2
تاسیسات گستران  15 درصد,,09135551215,نعمیر کولر گازی و اسپلیت,"8,840,000 تومان",19,99,بزرگسالان
مرکز تخصصی آیتک 10 درصد (شماره تماس : 03136671590),آدرس : خیابان میر جنب آسمان هفتم,,رباتیک,5.300.000 تومان,9,12,دبستان2
مرکز تخصصی آیتک 10 درصد (شماره تماس : 03136671590),آدرس : خیابان میر جنب آسمان هفتم,,رباتیک,5.300.000 تومان,12,15,متوسطه1
مرکز تخصصی آیتک 10 درصد (شماره تماس : 03136671590),آدرس : خیابان میر جنب آسمان هفتم,,رباتیک,5.300.000 تومان,15,18,متوسطه2
مرکز تخصصی آیتک 10 درصد (شماره تماس : 03136671590),آدرس : خیابان میر جنب آسمان هفتم,,رباتیک,5.300.000 تومان,19,99,بزرگسالان
آموزش رباتیک صدرا 20 درصد     (شماره تماس : 03134416200),آدرس : چهارراه رزمندگان-خیابان اصفهان ویلا ساختمان اداری ویلا,,الکترونیک ربات,4.300.000 تومان,9,12,دبستان2
آموزش رباتیک صدرا 20 درصد     (شماره تماس : 03134416200),آدرس : چهارراه رزمندگان-خیابان اصفهان ویلا ساختمان اداری ویلا,,قطعه شناسی,4.900.000 تومان,12,15,متوسطه1
